,Komentar
0,"['kakak', 'tidur', 'sudah', 'pagi', 'tidak boleh', 'lelah']"
1,"['makan', 'nasi', 'padang', 'saja', 'badan']"
2,"['suka', 'cukur', 'jembut', 'manggung']"
3,"['hai', 'kakak', 'isyana', 'ngefans', 'sekali', 'kakak', 'isyana', 'suka', 'lagu', 'kakak', 'isyana', 'lagu', 'dalam', 'jiwa']"
4,"['manusia', 'bidadari', 'sih', 'heran', 'deh', 'cantik']"
5,"['kinanti', 'isyana', 'sekarang', 'ubah', 'baju', 'nakal']"
6,"['gemesnya', 'isyana', 'mirip', 'tango', 'lap', 'lapis']"
7,"['jelek', 'saja', 'anak', 'ayah', 'cakap']"
8,"['anak', 'mirip', 'sudah', 'tua', 'begitu', 'muka', 'ke', 'tasya']"
9,"['muka', 'anak', 'kok', 'tua', 'sekali', 'ngegemesin', 'lucu']"
10,"['muka', 'muka', 'kolot', 'muka', 'bayi', 'lucu', 'begitu']"
11,"['sudah', 'gila', 'orang', 'sudah', 'jomblo', 'psikolog', 'laku']"
12,"['kamu', 'sinting', 'sudah', 'tingkat', 'dewa']"
13,"['lutfi', 'putus', 'salsa', 'orang', 'stres']"
14,"['anak', 'tolol', 'aktif', 'bund']"
15,"['mati', 'saja', 'gedeg', 'saya', 'liat', 'kamu', 'anjing']"
16,"['woy', 'lutfi', 'asu', 'sok', 'asyik', 'kamu', 'anjing']"
17,"['apasih', 'kontol', 'tengkar', 'saja', 'ayo', 'bangsat']"
18,"['pelakor', 'plus', 'hamil', 'nikah', 'pantas', 'anak', 'seperti', 'gin', 'model']"
19,"['anak', 'sudah', 'pintar', 'maknya', 'lempeng', 'asa', 'baby', 'tinggi', 'azka', 'saja', 'lebih', 'mama']"
20,"['anak', 'cerdas', 'bentuk', 'dari', 'pola', 'asuh', 'pola', 'didik', 'orangtua', 'cerdas', 'sih', 'sara', 'sesimple']"
21,"['iri', 'motivasi']"
22,"['hancur', 'hidup', 'kamu', 'sumpah']"
23,"['seram', 'sekali', 'muka', 'kamu', 'meldianti', 'mirip', 'ayam', 'potong', 'merah', 'sekali']"
24,"['yaudah', 'jadi', 'usaha', 'kuliner', 'saja', 'tidak usah', 'artis', 'makan', 'memang', 'bikin', 'ngiler', 'sih']"
25,"['memang', 'cocok', 'usaha', 'kuliner', 'sudah', 'fixs', 'semoha', 'lancat']"
26,"['jelek', 'image', 'owner', 'artis', 'artis', 'hallo', 'langsung', 'orang', 'tahu', 'image', 'kamu', 'jelek', 'gentong']"
27,"['sih', 'hidup']"
28,"['unfollow', 'bilang', 'najis']"
29,"['muka', 'kamu', 'sensual', 'norak', 'sudah']"
30,"['sudah', 'jaman', 'ngebully', 'orang', 'hey', 'netizen', 'mending', 'ngaca', 'kurang']"
31,"['pas', 'tempat', 'benar', 'imut', 'sekali', 'loh', 'meldianti']"
32,"['cakap', 'kaga', 'jelek', 'iya', 'hahah']"
33,"['jari', 'jari', 'kaki', 'mirip', 'jari', 'tukang', 'panggul']"
34,"['kaki', 'seperti', 'hamil', 'tua', 'bun', 'kaki', 'gajah']"
35,"['suka', 'heran', 'ngehina', 'fisik', 'benar', 'dosa']"
36,"['edit', 'biar', 'langsing', 'mah', 'kalau', 'live', 'bomber', 'badan']"
37,"['kaki', 'gedong', 'say', 'seperti', 'kaki', 'jantan', 'up', 'suka', 'baur', 'ama', 'warwerwor', 'mahluk', 'astral', 'kaki', 'gedong']"
38,"['bagus', 'foto', 'pakai', 'masker', 'daripada', 'pakai', 'masker']"
39,"['kakak', 'foto', 'memek', 'lihat', 'tebal', 'memek', 'kakak', 'bengkak', 'yah']"
40,"['bra', 'kedodoran', 'kakak', 'pakai', 'ukur', 'gede']"
41,"['cantik', 'senang', 'usaha', 'buah', 'hasil', 'semangat', 'meldianti', 'moga', 'pribadi']"
42,"['mbak', 'sih', 'merem', 'melek', 'begitu', 'mata', 'kaya', 'orang', 'cacing']"
43,"['moga', 'lancar', 'usaha', 'meldianti']"
44,"['cantik', 'sekali', 'kalau', 'meldianti', 'muka', 'natural', 'seperti', 'gin']"
45,"['kamu', 'diam', 'saja', 'cantik', 'meldianti', 'kalau', 'gaya', 'serius']"
46,"['kaku', 'seperti', 'kanebo', 'kering', 'ha']"
47,"['glowing', 'say', 'natural', 'mirip', 'gin', 'bagus', 'tambahin', 'prestasi', 'say']"
48,"['meldianti', 'emaknya', 'buka', 'klinik', 'totok', 'aura', 'kayak', 'anak', 'totok', 'aura', 'lihat', 'butek']"
49,"['muka', 'kamu', 'pasar', 'meldianti', 'pasar', 'sapi', 'noh']"
50,"['maaf', 'saya', 'nyamain', 'kamu', 'dugong', 'memang']"
51,"['iya', 'kamu', 'monyet', 'meldianti']"
52,"['bagus', 'pantat', 'panci', 'aing', 'atuh', 'anjir']"
53,"['memang', 'muka', 'muka', 'badak', 'muka', 'beton', 'malu']"
54,"['mbak', 'meldianti', 'cantik', 'rahasia']"
55,"['lengan', 'gempal', 'sekali', 'sih', 'ha']"
56,"['fix', 'komen', 'nyela']"
57,"['sudah', 'kakak', 'tidak usah', 'gubris', 'tidak usah', 'dipikirin', 'syukur', 'saja', 'nikmat', 'tuhan', 'sudah', 'kasih', 'kakak', 'tidak usah', 'ngatain', 'orang', 'kakak', 'tetap', 'syukur', 'nikmat']"
58,"['jari', 'jari', 'gede', 'gede', 'sekali', 'pas', 'ngiklan', 'makan', 'ikan', 'danau', 'hambar', 'jari', 'mirip', 'jempol', 'hawak', 'benar']"
59,"['disamain', 'muka', 'orang', 'oi', 'minta', 'disamain', 'babi']"
60,"['bawah', 'meldianti', 'tara', 'kurang', 'lebih']"
61,"['kakak', 'meldianti', 'tidak usah', 'rendah', 'orang', 'syukur', 'saja', 'atas', 'langit', 'langit']"
62,"['muka', 'bantu', 'kamera', 'dekil', 'mel']"
63,"['wanita', 'cantik', 'suka', 'ah']"
64,"['meldianti', 'sudah', 'kontrak', 'endorse', 'skincare', 'muka', 'jelek', 'sih']"
65,"['gila', 'netizen', 'sempurna', 'ngehina', 'orang']"
66,"['sudah', 'ngembang', 'habis', 'cowok', 'meldianti', 'enak', 'otak', 'atik']"
67,"['muka', 'mirip', 'kamu', 'pasar', 'murah']"
68,"['muka', 'buluk', 'kepedean', 'muka', 'sudah', 'tua']"
69,"['muka', 'kamu', 'kaya', 'tai']"
70,"['sakit', 'jiwa', 'upil', 'gajah', 'kasihan']"
71,"['jelek', 'buntut', 'kuali', 'ha']"
72,"['meldianti', 'kurus', 'cantik', 'pakai', 'up']"
73,"['kamu', 'moga', 'akhlak', 'etika']"
74,"['mbak', 'meldianti', 'sehat', 'sukses']"
75,"['aamiin', 'doa', 'meldianti']"
76,"['selamat', 'mbak', 'moga', 'pribadi', 'amin']"
77,"['meldianti', 'cantik', 'loh', 'tinggal', 'dibenerin', 'akhlak', 'adab', 'sip']"
78,"['ambil', 'foto', 'bagus', 'mantap', 'keren', 'tinggal', 'ambil', 'arwah', 'saja']"
79,"['tidak', 'cantik', 'ha']"
80,"['kasihan', 'editor', 'sih', 'nanggung', 'dosa', 'sekali', 'kayak', 'ngeditnya', 'offside', 'gin']"
81,"['dewi', 'persik']"
82,"['julid', 'meldianti', 'nyusahin']"
83,"['foto', 'masukin', 'museum', 'saja', 'pantas']"
84,"['tidak', 'ngumpul', 'bareng', 'mami', 'isa', 'gembrot', 'sana']"
85,"['lagu', 'kamu', 'laku', 'meldianti']"
86,"['lutut', 'hitam', 'gosok', 'maning', 'biar', 'cling', 'cantik']"
87,"['suka', 'heran', 'warga', 'suka', 'ngehujat', 'orang', 'terus', 'pahala', 'tidak', 'dosa', 'mah', 'iya']"
88,"['cantik', 'saja', 'rosa', 'meldianti']"
89,"['ular', 'dugong']"
90,"['suka', 'harmonis']"
91,"['cantik', 'sekali', 'pakai', 'baju', 'mirip', 'begitu']"
92,"['jujur', 'kalau', 'anteng', 'cantik', 'meldianti']"
93,"['cowok', 'cakap', 'cakep']"
94,"['foto', 'tirus', 'kalau', 'video', 'warior', 'muka', 'seperti', 'donat', 'bentuk']"
95,"['sekian', 'foto', 'diposting', 'cantik']"
96,"['artis', 'abal', 'muka', 'putih', 'tangan', 'hitam', 'ager', 'atm', 'sudah', 'isi']"
97,"['muka', 'mirip', 'penuh', 'tekan', 'sekali']"
98,"['cowok', 'wajah', 'culun', 'cupu', 'mirip', 'om']"
99,"['masyaallah', 'cantik', 'sopan', 'anggun']"
100,"['kang', 'ojek', 'kali', 'belang', 'tangan']"
101,"['senang', 'liat', 'pasang', 'cewenya', 'hujat', 'indonesia', 'tetap', 'setia', 'tani']"
102,"['putus', 'tumbal', 'apartemen']"
103,"['cantik', 'meldianti', 'semangat', 'diet']"
104,"['tangan', 'paha', 'ha']"
105,"['meldianti', 'lihat', 'cakap']"
106,"['muka', 'mirip', 'ngeden', 'pas', 'boker']"
107,"['aduuh', 'halu', 'hhahaha', 'lebay', 'edit', 'lemak', 'ke mana', 'lemak', 'hahha', 'mimpi', 'tinggi']"
108,"['salfok', 'kaki', 'cantik', 'sekali', 'asli']"
109,"['dia', 'buset', 'cantik', 'edit', 'saja', 'mbak', 'coba', 'sudah', 'asli', 'sudah', 'mirip', 'buntel', 'kentut']"
110,"['hitam', 'putih', 'seperti', 'kopi', 'luwak']"
111,"['palsu', 'badane', 'edit', 'itu', 'asli', 'di mana', 'lemak']"
112,"['sudah', 'kontrak', 'skincare', 'tetap', 'saja', 'buluk', 'meldianti']"
113,"['heran', 'netizen', 'kalau', 'suka', 'liat', 'saja']"
114,"['sukses', 'yah', 'kakak', 'semangat']"
115,"['jujur', 'suka', 'meldianti', 'suka', 'ngehujat', 'orang']"
116,"['sumpah', 'asli', 'muka', 'kamu', 'lebar', 'mirip', 'baskom', 'loh', 'meldianti']"
117,"['karya', 'terus', 'meldianti', 'walau', 'nuntun']"
118,"['astaghfirullah', 'seram', 'bun', 'ular', 'jelma', 'makhluk', 'halus', 'bun']"
119,"['heran', 'cowok', 'ngebully', 'sabar', 'meldianti']"
120,"['astaga', 'ratu', 'edit', 'muka', 'sumpah', 'seren', 'mirip', 'film', 'setan', 'begitu']"
121,"['mata', 'mirip', 'katarak', 'anjir', 'ah']"
122,"['caption', 'saja', 'copas', 'cantumin', 'credit', 'dasar', 'iblis']"
123,"['unfollow', 'saja', 'dosa', 'ngebully']"
124,"['meldianti', 'perhati', 'orang', 'china', 'deh', 'cantik']"
125,"['edit', 'softlensnya', 'mbak', 'mirip', 'ratu', 'titis', 'ular']"
126,"['kasihan', 'ular', 'bawa', 'bawa', 'ular', 'pantas', 'bunglon', 'buaya']"
127,"['maju', 'terus', 'sayang', 'abai', 'orang', 'comment', 'sakit']"
128,"['kasihan', 'hidup', 'hanya', 'bahan', 'hujat', 'masyarakat', 'mubadzir', 'sekali', 'deh', 'hidup', 'kamu', 'kenapa', 'bunuh', 'saja']"
129,"['semangat', 'meldianti', 'bahasa', 'asing', 'mah', 'berani', 'entar']"
130,"['beda', 'foto', 'lebar', 'sekali', 'muka', 'maaf', 'foto', 'edit']"
131,"['meldianti', 'kadang', 'mulut', 'aku', 'rem', 'haluan', 'bangga', 'usaha', 'mu', 'yuhu']"
132,"['lupa', 'edit', 'itu', 'muka', 'melar']"
133,"['semangat', 'salah', 'ajar', 'bahasa', 'asing', 'ajar', 'utama', 'salah', 'ulang']"
134,"['kereen', 'bullyan', 'netizen', 'jadi', 'ajar']"
135,"['jijik', 'lihat', 'orang', 'aura', 'buruk', 'sangat', 'manis', 'manis']"
136,"['semangat', 'ajar', 'juga', 'bahasa', 'inggris']"
137,"['niat', 'berani']"
138,"['salut', 'meldianti', 'semangat', 'ajar', 'ngetawain', 'berani']"
139,"['gp', 'meldianti', 'semangat', 'ajar', 'terus', 'gampang', 'nyerah', 'pokok']"
140,"['ngaku', 'bagak', 'pintar']"
141,"['kalau', 'harap', 'ikut', 'kontes', 'mis', 'earth', 'les', 'inggris', 'biar', 'lidah', 'keseleo']"
142,"['postingan', 'bund', 'netizen', 'hujat']"
143,"['happy', 'birthday', 'meldianti', 'sehat', 'sukses', 'yah', 'aamiin']"
144,"['happy', 'birthday', 'kakak', 'meldianti', 'imut', 'ngegemesin', 'sukses']"
145,"['ampun', 'ketiak', 'lemak', 'edit', 'parah']"
146,"['ketiak', 'habis', 'amplas', 'meldianti', 'halus', 'sekali']"
147,"['sudah', 'edit', 'begitu', 'ketiak', 'kamu', 'hitam']"
148,"['selamat', 'ulang', 'meldianti', 'sudah', 'yah', 'tingkah']"
149,"['muka', 'kuning', 'sekali', 'kaya', 'kunyit']"
150,"['selamat', 'ulang', 'meldianti', 'sukses', 'sehat']"
151,"['foto', 'cantik', 'biar', 'kena', 'hujat', 'mah', 'kasihan']"
152,"['happy birthday', 'meldianti', 'moga', 'sukses', 'umur', 'rejekinya', 'lancar', 'amin']"
153,"['asa', 'kemarin', 'lengan', 'kekar', 'sekali', 'seperti', 'tinju', 'sudah', 'begitu', 'ketiak', 'hitam', 'foto', 'lengan', 'ketiak', 'putih', 'seperti', 'dibedakin']"
154,"['selamat', 'ulang', 'kakak', 'banyak', 'sadar', 'pansos', 'yah', 'amin']"
155,"['happy birthday', 'cantik', 'moga', 'depan', 'sukses']"
156,"['happy birthday', 'mbak', 'meldianti', 'cantik', 'panjang', 'umur', 'sehat']"
157,"['diri', 'kaki']"
158,"['biar', 'edit', 'kaya', 'saja', 'ketiak', 'hitam', 'bohongin']"
159,"['sumpah', 'apa', 'lengan', 'gede', 'sekali']"
160,"['selamat', 'ulang', 'umur', 'ketemu', 'dajjal']"
161,"['ketiak', 'hitam', 'buluk', 'kamu', 'edit', 'nutupin', 'daki', 'ketek', 'kamu', 'aka', 'hitam', 'ketiak', 'kamu', 'dasar', 'dugong']"
162,"['atm', 'tinggal', 'ribu', 'saja', 'gaya', 'kamu', 'dugong']"
163,"['bagus', 'suara', 'pola']"
164,"['sih', 'meldianti', 'jelek', 'saja', 'gaya', 'beda', 'sekali', 'sama', 'tante', 'sepupu', 'sudah', 'cantik']"
165,"['sudah', 'ubah', 'mirip', 'saya', 'lihat']"
166,"['ngedit', 'ketiak', 'sudah', 'sampai', 'ngeblur', 'pis', 'putih', 'seperti', 'cat', 'tembok']"
167,"['aduh', 'dugong', 'saja', 'gila', 'filter']"
168,"['muka', 'saja', 'dempul', 'ketiak']"
169,"['kasihan', 'kebelet', 'artis', 'bakat']"
170,"['pelihara', 'lepas', 'tolong', 'angkut']"
171,"['miris', 'sekali', 'ultah', 'didoain', 'bully', 'kasihan', 'god', 'bles', 'meldianti']"
172,"['mudah', 'mudah', 'kamu', 'jelek', 'amin', 'allah']"
173,"['ketiak', 'hitam', 'kasih', 'bedak', 'abu', 'monyet']"
174,"['heran', 'saya', 'mah', 'tidak suka', 'tidak usah', 'follow', 'sudah', 'tahu', 'ini', 'akun', 'private', 'kalau', 'kamu', 'follow', 'ngebuli', 'tanda', 'kamu', 'sirik', 'tidak suka', 'tidak usah', 'liat', 'kaya', 'sempurna', 'saja']"
175,"['saya', 'harap', 'kamu', 'saja', 'sih', 'sakit', 'laura', 'lol']"
176,"['kamu', 'saja', 'derita', 'lora', 'anjing']"
177,"['sempet', 'benar', 'lora', 'kamu', 'tinggalin', 'kamu', 'orang', 'jahat', 'kamu', 'bahagia']"
178,"['kamu', 'benar', 'gakalo', 'sempet', 'sakit', 'lora', 'saya', 'santet']"
179,"['sih', 'seperti', 'anjing']"
180,"['semangat', 'liat', 'belakang', 'fokus', 'saja', 'depan', 'muda']"
181,"['cantik', 'gila']"
182,"['meldianti', 'sinar', 'pertahanin', 'karir', 'jangan', 'disiasia']"
183,"['semangat', 'apa', 'dalah', 'mata', 'benci']"
184,"['asli', 'bebet', 'tidur', 'ini', 'anak', 'kasihan']"
185,"['kumat', 'semedinya', 'gin', 'keluar']"
186,"['tangan', 'hitam', 'beda', 'ama', 'muka']"
187,"['meldianti', 'foto', 'gendut', 'beda']"
188,"['gatau', 'sih', 'cantik', 'aura', 'cantik', 'idih', 'begitu', 'lihat']"
189,"['buruk', 'buruk', 'mata', 'suka', 'mu']"
190,"['gila', 'ini', 'siluman', 'story', 'orang', 'lihat', 'sekali', 'tumpu', 'lemak', 'burik']"
191,"['dasar', 'bodoh', 'kamu', 'saya', 'jijik', 'kamu', 'bro', 'mirip', 'otak', 'sekali']"
192,"['kamu', 'kamu', 'bagus', 'tuh', 'anjing']"
193,"['maafin', 'a', 'moga', 'jera', 'depan']"
194,"['eh', 'bocah', 'mending', 'kamu', 'mati', 'saja', 'orang', 'mirip', 'kamu', 'ha']"
195,"['btw', 'video', 'bohong', 'pas', 'percaya', 'lihat', 'tribun', 'news', 'hujat']"
196,"['okay', 'bro', 'kalem', 'saja', 'semangat', 'putus', 'asa']"
197,"['kamu', 'mati', 'saja', 'sudah', 'biar', 'bikin', 'ribet']"
198,"['sampah', 'masyarakat', 'musnah']"
199,"['mati', 'kamu', 'najis', 'kontol', 'bangsat', 'mati', 'kamu']"
200,"['youtuber', 'toxic', 'tutup', 'akun', 'tutup', 'usia']"
201,"['ribet', 'mirip', 'sudah', 'saja', 'kamu']"
202,"['hitam', 'atas', 'putih', 'langsung', 'proses']"
203,"['sayang', 'anak', 'serah', 'saja', 'polisi', 'biar', 'didik']"
204,"['manusia', 'hewan', 'sih', 'hati', 'sekali']"
205,"['manusia', 'anjing', 'cari', 'uang', 'begitu', 'kamu', 'kerja', 'saja', 'saya', 'nyebokin', 'saya', 'nanti', 'saya', 'gaji', 'kamu']"
206,"['maklum', 'anak', 'didik', 'mirip', 'begitu', 'akhlak']"
207,"['anjing', 'anak', 'tahu', 'ibu', 'nang']"
208,"['oi', 'babi', 'saya', 'bunuh', 'kamu', 'sumpah']"
209,"['he', 'sampah', 'kamu', 'sudah', 'saya', 'maafin', 'bohong', 'goblok']"
210,"['anjing', 'kamu', 'baku', 'hantam', 'ayo']"
211,"['bangkit', 'bang', 'lemah', 'ajar', 'uji', 'kamu', 'bang']"
212,"['patah', 'semangat', 'kakak', 'sukses']"
213,"['semangat', 'ferdian', 'tidak usah', 'dengerin', 'orang', 'hujat', 'manusia', 'luput', 'salah']"
214,"['sumpah', 'respect', 'sekali']"
215,"['turut', 'pribadi', 'tulus', 'maaf']"
216,"['kasih', 'bidadari', 'mau', 'boneka', 'santet']"
217,"['hilang', 'respect', 'saya', 'jane', 'sudah', 'setia', 'sangat', 'kamu', 'kamu', 'main', 'cewek', 'pas', 'sudah', 'dari', 'penjara', 'lol']"
218,"['hapus', 'saja', 'ini', 'poto', 'tidak', 'tahu', 'malu', 'sangat', 'kamu', 'bang']"
219,"['inti', 'tidak suka', 'anjing', 'listy', 'ngrusak', 'suasana']"
220,"['foto', 'anjing', 'kontol']"
221,"['kasihan', 'sekali', 'jane', 'sudah', 'nunggu', 'penjara', 'eh', 'tahu', 'sakit', 'sih']"
222,"['cewk', 'selingkuhin', 'ngotak']"
223,"['ingat', 'potong', 'hubung', 'kalau', 'sudah', 'gin', 'sembeleh', 'saja', 'orang', 'sudah', 'lanjur', 'kecewa']"
224,"['konten', 'putus', 'foto', 'tabi', 'jessica', 'tidak', 'hapus']"
225,"['makan', 'bikin', 'ama', 'jes', 'tetapi', 'ngehianatin', 'gila', 'sih']"
226,"['parah', 'kamu', 'bang', 'nama', 'kamu', 'sudah', 'rusak', 'karena', 'narkoba', 'tambah', 'saja', 'terus']"
